0,22.19,22.19,22.19,22.19,23.19,22.52,99.99999993645366
0,22.19,22.19,22.19,22.52,23.19,22.52,99.99999992906461
-1,22.86,22.19,22.52,22.52,22.86,22.52,99.99999991131394
-1,23.52,22.19,22.19,22.19,23.19,22.86,99.99999988912138
-2,24.19,22.52,22.52,22.52,24.19,22.86,99.99999973089471
-2,24.86,22.19,22.86,22.52,22.19,23.19,99.99999980653382
-3,25.87,22.52,22.86,22.52,23.86,23.86,99.99999934031045
-3,26.54,22.19,23.19,22.52,24.86,23.86,99.99999884894291
-4,27.55,22.19,23.86,22.52,24.53,24.19,99.99999798487602
-4,28.22,22.52,23.86,22.52,24.86,24.86,99.99999607507449
-5,28.9,22.52,24.19,22.52,25.53,25.2,99.99999230415428
-5,29.91,22.52,24.53,22.52,25.2,25.87,99.99998648211069
-6,30.59,22.52,24.86,22.52,26.54,26.2,99.99996697228426
-6,30.93,22.19,25.2,22.52,24.86,26.54,99.99997625558908
-7,31.61,22.52,25.53,22.52,26.54,26.87,99.9999274690511
-7,32.63,22.52,25.87,22.52,27.21,27.55,99.999821007193
-8,32.98,22.52,26.2,22.19,25.87,27.88,99.9998563548569
-8,33.66,22.52,26.87,22.52,27.21,28.56,99.99950691784008
-9,34.34,22.52,26.87,22.52,27.55,28.56,99.99930724679072
-9,34.69,22.52,27.21,22.52,27.55,29.24,99.99890628386665
-10,35.72,22.52,27.55,22.52,29.57,29.57,99.99622064130686
-10,36.06,22.52,28.22,22.52,28.22,29.91,99.99622064130686
-11,36.4,22.52,28.22,22.52,28.56,30.25,99.9946902803724
-11,36.75,22.52,28.9,22.52,28.9,30.93,99.98948481600223
-12,37.44,22.52,29.24,22.52,28.9,31.27,99.98339961124658
-12,37.78,22.52,29.24,22.52,29.57,31.61,99.97396786395875
-13,38.48,22.52,29.57,22.52,29.91,31.95,99.95397743590345
-13,38.82,22.52,29.91,22.52,29.57,32.63,99.9353527575907
-14,39.17,22.52,30.25,22.52,31.61,32.63,99.83954936315445
-14,39.86,22.52,30.59,22.52,30.93,33.32,99.77321818117684
-15,40.21,22.19,30.93,22.86,31.27,33.66,99.64123602981834
-15,40.56,22.52,31.61,22.52,30.59,33.66,99.59835540797395
-16,40.9,22.52,31.61,22.52,30.93,34.34,99.36944527126641
-16,41.25,22.86,31.95,22.86,31.27,34.69,98.75478706689414
-17,41.6,22.52,32.29,22.52,31.95,35.03,98.25360795310402
-17,42.3,22.86,32.29,22.52,32.63,35.37,96.58858476287524
-18,42.3,22.52,32.98,22.52,32.29,35.37,96.57758423076042
-18,42.65,22.52,32.98,22.86,33.32,36.06,92.6672646961449
-19,43.35,22.52,33.66,22.86,32.63,36.4,89.96492425291687
-19,43.7,22.86,33.66,22.86,33.66,36.75,81.80711048520828
-20,44.05,22.86,34.0,22.86,33.66,37.09,76.13327148429097
-20,44.05,22.52,34.0,22.52,34.34,37.44,73.94926627426865
-21,44.4,22.52,34.34,22.86,35.72,37.78,53.162439498176816
-21,44.75,22.86,35.03,22.52,34.69,37.78,53.07943085882939
-22,44.75,22.86,35.37,23.19,34.0,38.13,1.7986209962091562
-22,44.75,22.86,35.03,23.19,36.06,38.13,1.7986209962091562
-23,44.75,22.86,35.37,23.19,36.06,38.13,1.7986209962091562
-23,44.4,22.86,35.37,23.19,35.72,38.48,1.7986209962091562
-24,44.05,22.86,35.72,23.19,36.06,38.48,1.7986209962091562
-24,43.7,22.86,35.72,23.19,35.37,38.48,1.7986209962091562
-25,43.7,22.86,35.72,23.19,36.4,38.13,1.7986209962091562
-25,43.0,22.86,35.72,23.19,35.37,38.48,1.7986209962091562
-26,42.65,22.86,35.72,23.19,35.37,38.13,50.66662716330307
