0.0,27.7,27.7,31.78,27.7,31.1,33.49,29.911666666666672,18.412550381022392,4018242770564.89,99.99972156685976
0.5,27.7,26.35,31.78,27.7,31.44,33.49,29.743333333333336,20.112167823869033,4018242770564.89,99.99984023896839
1.0,28.04,26.69,31.78,27.7,31.44,33.49,29.85666666666667,21.573842650288675,2740702471794.62,99.99976778157362
1.5,28.04,27.36,31.44,27.36,31.44,33.49,29.855000000000004,22.816016252745378,4018242770564.89,99.99976905526616
2.0,27.7,26.35,31.78,27.7,31.78,33.83,29.856666666666666,23.87211381483357,9837454951294.06,99.99976778157362
2.5,28.04,27.7,32.12,27.7,31.78,34.18,30.25333333333333,24.829296742608534,4018242770564.89,99.99914022377993
3.0,27.7,28.04,32.12,27.7,32.12,34.52,30.366666666666664,25.659902231217252,9837454951294.06,99.99875028819619
3.5,27.7,26.69,32.46,27.7,32.46,34.52,30.255,26.349166896534665,9837454951294.06,99.99913548202373
4.01,27.7,26.35,32.46,27.7,32.46,34.86,30.254999999999995,26.93504186205446,4018242770564.89,99.99913548202373
4.51,27.7,26.69,32.8,27.36,32.8,35.21,30.426666666666666,27.45878558274629,16805581214514.44,99.99847665247653
5.01,28.04,26.69,32.8,27.7,33.15,35.55,30.655,27.938217745334345,2740702471794.62,99.99676382168026
5.51,28.04,26.01,33.49,27.7,33.15,35.9,30.715,28.35473508353419,9837454951294.06,99.99605524828111
