0.0,23.99,23.99,23.66,23.99,23.66,23.99,23.88,14.69967247223986,6132950956638.66,99.99999880196737
0.5,23.99,23.66,23.99,23.99,23.99,23.99,23.935,16.084971601403883,6132950956638.66,99.99999866266246
1.0,23.66,25.0,23.99,23.99,23.66,23.99,24.048333333333332,17.279475861193298,2740702471794.62,99.99959931453736
1.5,23.99,23.32,23.99,23.99,23.99,24.33,23.935,18.277804482014304,6132950956638.66,99.9996619555609
2.0,23.99,23.99,24.33,23.99,24.33,24.67,24.21666666666667,19.16863380971216,6132950956638.66,99.9999980148773
2.5,23.99,23.32,24.67,23.99,24.67,24.67,24.218333333333334,19.926088738255334,6132950956638.66,99.99999795442132
3.0,23.99,23.66,24.67,23.99,25.0,25.0,24.385,20.594925427517033,2740702471794.62,99.99999722028784
3.5,23.99,23.32,25.0,23.99,25.34,25.67,24.551666666666666,21.188436613389474,4018242770564.89,99.99999662741097
4.01,23.99,23.99,25.34,23.99,25.34,25.67,24.72,21.718171121381054,9837454951294.06,99.99999500211898
4.51,24.33,23.66,25.34,24.33,25.67,26.35,24.94666666666667,22.202445453173894,16805581214514.44,99.99999297238533
5.01,23.99,25.34,26.01,24.33,26.01,26.69,25.395,22.68132863519781,2740702471794.62,99.99998503550202
5.51,24.33,24.33,26.01,23.99,26.35,27.02,25.338333333333335,23.07987933991814,2740702471794.62,99.99998506042208
6.01,23.99,23.66,26.35,23.99,26.69,27.36,25.34,23.41889743893042,4018242770564.89,99.99998370789588
6.51,23.99,23.32,26.69,23.99,27.02,27.7,25.451666666666664,23.723812823090853,4018242770564.89,99.99997842546117
7.01,24.33,23.32,27.02,23.99,27.36,28.38,25.733333333333334,24.025240899627224,2740702471794.62,99.99995881062512
7.51,24.33,23.99,27.36,23.99,27.7,28.72,26.014999999999997,24.32370476468314,4018242770564.89,99.99993891008472
8.01,23.99,24.33,27.7,23.99,27.7,29.05,26.126666666666665,24.59414904998067,4018242770564.89,99.99992771041826
8.51,24.33,23.66,28.04,23.99,28.04,29.39,26.241666666666664,24.841276692483568,4018242770564.89,99.9999091678617
9.01,23.99,23.99,28.38,23.99,28.38,29.73,26.409999999999997,25.07658518861103,4018242770564.89,99.99986539479796
9.51,23.99,23.66,28.72,24.33,28.72,30.07,26.581666666666667,25.30234741031937,2740702471794.62,99.99979952716743
10.01,23.99,23.66,29.05,24.33,29.05,30.75,26.805000000000003,25.527745298771467,2740702471794.62,99.99970365891241
10.51,24.33,23.66,29.39,23.99,29.05,31.1,26.919999999999998,25.73658350395575,2740702471794.62,99.99962702539004
11.01,24.33,25.0,29.73,23.99,29.39,31.44,27.313333333333333,25.973095978362384,2740702471794.62,99.99926807838514
11.51,24.33,23.66,29.73,23.99,29.73,31.78,27.203333333333333,26.157631581608026,9837454951294.06,99.99932378754099
12.01,23.99,23.99,30.41,24.33,30.07,32.12,27.485,26.356736844366818,16805581214514.44,99.9988463694972
12.52,24.33,23.32,30.41,23.99,30.07,32.46,27.430000000000003,26.51772631771179,6132950956638.66,99.99887485241533
13.02,24.33,23.66,30.75,24.33,30.75,32.8,27.77,26.70556737005502,9837454951294.06,99.99771910177802
13.52,24.33,23.99,31.1,24.33,30.75,33.15,27.941666666666666,26.890982264546764,2740702471794.62,99.99720714546756
14.02,24.33,23.99,31.44,23.99,31.1,33.49,28.05666666666667,27.06583492486475,6132950956638.66,99.99617947724921
14.52,24.33,23.66,31.78,23.99,31.44,33.83,28.171666666666663,27.231709686135034,6132950956638.66,99.99558335085095
15.02,24.33,23.66,31.78,23.99,31.44,33.83,28.171666666666663,27.37270323321478,2740702471794.62,99.99476496718195
15.52,24.33,23.99,32.46,23.99,31.78,34.52,28.51166666666667,27.54354774823256,2740702471794.62,99.99050121585242
16.02,24.33,25.34,32.46,24.33,32.12,34.52,28.849999999999998,27.739515585997673,4018242770564.89,99.98328859082572
16.52,24.33,23.66,32.8,23.99,32.12,35.21,28.685,27.881338248098018,1932430688164.07,99.98617994789998
17.02,24.33,23.99,33.15,24.33,32.46,35.21,28.911666666666665,28.035887510883317,2740702471794.62,99.98058463766134
17.52,24.33,25.34,33.15,24.33,32.46,35.9,29.251666666666665,28.21825438425082,4018242770564.89,99.9616836935362
18.02,24.33,25.0,33.83,24.33,32.8,36.24,29.421666666666667,28.398766226613194,4018242770564.89,99.94145241644722
18.52,24.33,25.34,33.83,24.33,33.15,36.24,29.536666666666665,28.569451292621213,2740702471794.62,99.93594227163953
19.02,24.33,23.99,34.18,24.33,33.49,36.59,29.485,28.706783598728027,4018242770564.89,99.9336067997211
19.52,24.67,23.66,34.52,24.33,33.49,36.93,29.599999999999998,28.840766058918824,9837454951294.06,99.90651289708804
20.02,24.67,23.99,34.52,24.33,33.83,37.28,29.77,28.980151150080996,6132950956638.66,99.86870522477321
20.52,24.67,23.99,35.21,24.33,33.83,37.62,29.941666666666666,29.124378477568847,4018242770564.89,99.8201795280947
21.03,24.67,23.99,35.21,24.33,34.18,37.97,30.058333333333334,29.26447170593352,2740702471794.62,99.79131281410449
21.53,24.67,23.99,35.55,24.67,34.52,37.97,30.228333333333335,29.40905095004349,2740702471794.62,99.71497663434488
22.03,25.0,23.99,35.55,24.33,34.86,38.32,30.341666666666665,29.548943307536966,6132950956638.66,99.63249253892869
22.53,24.67,24.33,35.9,24.33,34.86,38.66,30.458333333333332,29.68535181140642,9837454951294.06,99.52349303522367
23.03,25.0,25.67,35.9,24.67,34.86,38.66,30.793333333333333,29.851549039695456,2740702471794.62,99.16807847241901
