0.0,24.86,24.53,24.53,24.53,24.53,24.53,24.584999999999997,15.133645214824828,99.9999637412627
0.5,25.2,24.86,24.53,24.86,24.86,24.53,24.80666666666667,16.5845984326011,99.99994351283115
1.01,25.53,24.86,24.53,24.86,24.86,24.53,24.861666666666668,17.82615866771094,99.99997471577986
1.51,26.2,25.2,24.86,24.86,24.86,24.86,25.139999999999997,18.923234867554296,99.99995463774869
2.02,26.87,24.53,24.86,25.2,24.86,24.86,25.19666666666667,19.86424963742115,99.99987677489003
2.52,27.88,24.86,25.53,25.2,24.86,25.2,25.588333333333328,20.722862191807973,99.99973029069967
3.02,28.22,24.86,25.87,25.53,24.86,25.53,25.811666666666667,21.486182863036774,99.9990439235774
3.53,29.57,24.86,26.2,25.87,24.86,25.87,26.205000000000002,22.194005433581257,99.99798139782612
4.03,30.25,24.86,26.87,26.54,24.86,26.54,26.653333333333332,22.862904618544068,99.99526864569638
4.53,30.59,24.53,26.87,26.54,24.53,26.54,26.599999999999998,23.423468925762453,99.99572457843236
5.04,31.95,25.2,27.55,26.87,24.86,27.21,27.273333333333337,24.000948586898083,99.9846348011921
5.54,32.29,24.53,27.88,26.87,24.53,27.55,27.275000000000006,24.492056298863375,99.98458607512018
6.04,33.32,24.86,28.56,27.55,24.86,27.88,27.838333333333328,24.993997854033868,99.95506085209654
6.55,33.66,24.53,28.9,27.55,24.86,28.56,28.01,25.44639817592879,99.93774102626483
7.05,34.69,25.2,29.24,28.22,24.86,28.9,28.51833333333333,25.90718844953947,99.83661267829679
7.56,35.03,24.86,29.24,28.56,24.86,29.24,28.63166666666667,26.315860182108548,99.79743427132453
8.06,35.72,24.86,29.91,28.9,24.86,29.91,29.026666666666667,26.722481154792263,99.57192338917564
8.56,36.4,24.86,30.59,29.24,24.86,30.25,29.366666666666664,27.119108981573422,99.18643711297675
9.07,37.09,24.53,30.93,29.57,24.86,30.59,29.595000000000002,27.49049263433741,98.75006436797464
9.58,37.78,24.86,31.27,30.25,24.86,31.27,30.048333333333332,27.874168739186793,97.09192445443304
10.08,37.78,24.53,31.61,30.25,24.86,31.61,30.106666666666666,28.209043428308775,96.76210913649554
10.59,38.48,24.53,31.95,30.59,24.86,31.95,30.39333333333333,28.536686914062454,94.54563625941296
11.09,39.17,24.86,32.29,30.93,24.86,32.63,30.790000000000003,28.874683876953085,89.08059460991151
11.59,39.51,24.86,32.63,31.61,24.86,32.98,31.075000000000003,29.204731295410124,82.599432652177
12.1,40.21,24.53,32.98,31.61,24.86,33.32,31.251666666666665,29.511771601098605,77.23860211056491
12.6,40.21,24.86,33.66,31.95,24.86,33.66,31.533333333333328,29.815005860933812,66.52250003905826
13.11,40.56,24.53,33.66,32.29,24.86,34.0,31.649999999999995,30.090254981793738,61.41996427768974
13.61,40.9,24.53,34.0,32.29,24.86,34.0,31.763333333333332,30.34121673452467,95.03432170696733
14.11,41.25,24.53,34.34,32.98,24.86,34.69,32.10833333333333,30.606284224345973,39.99116292009965
14.62,41.25,24.86,34.69,32.98,24.86,34.69,32.221666666666664,30.84859159069407,87.94970501745138
15.13,41.95,24.86,35.03,33.32,24.86,35.37,32.565,31.10605285208996,85.6668916957071
15.63,41.95,24.86,35.03,33.32,24.53,35.37,32.51,31.316644924276467,79.68481090034841
16.13,42.3,25.2,35.37,33.66,24.86,35.72,32.85166666666667,31.546898185634994,75.97873119237798
16.64,42.65,24.86,35.37,34.0,24.86,35.72,32.910000000000004,31.751363457789743,67.30773678323013
17.14,42.65,24.86,35.72,34.34,25.2,36.06,33.13833333333333,31.95940893912128,52.02843912437874
17.65,43.0,24.86,35.72,34.69,24.86,36.4,33.255,32.153747598253084,42.372625043454974
18.15,43.35,24.53,36.06,34.69,24.86,36.75,33.373333333333335,32.33668545851512,30.159747176966523
18.66,43.0,24.53,36.06,35.03,24.86,36.75,33.37166666666667,32.491932639737854,24.32999279061172
19.16,43.35,24.53,36.75,35.37,24.86,37.09,33.65833333333334,32.666892743777176,18.738437653308164
19.67,43.35,24.86,36.75,35.37,24.86,37.09,33.71333333333333,32.8238588322106,14.61238286472504
20.17,43.0,24.86,36.75,35.72,24.86,37.09,33.71333333333333,32.957280007379005,11.723981713696844
20.68,42.65,24.86,36.4,35.37,24.86,37.44,33.596666666666664,33.05318800627215,9.965559130637688
21.18,42.65,24.86,36.4,35.72,24.53,36.75,33.485,33.117959805331324,8.914466150356722
21.69,42.3,24.53,36.4,35.72,24.86,37.09,33.483333333333334,33.172765834531624,8.10433252814974
22.19,41.95,24.53,36.4,35.37,24.86,37.09,33.36666666666667,33.20185095935188,7.7021820911224435
22.69,41.95,25.2,36.4,35.72,24.86,37.44,33.595,33.2608233154491,6.942444065795643
23.2,41.6,24.86,36.4,35.72,24.86,37.09,33.42166666666667,33.284949818131736,6.652075937926111
23.7,41.6,24.86,36.06,35.72,24.86,37.09,33.365,33.296957345411975,6.511802149840522
24.21,41.25,24.53,36.4,35.72,24.86,37.09,33.30833333333333,33.29866374360017,6.9310616900590984
24.71,40.9,24.86,36.06,35.72,25.2,37.09,33.305,33.29961418206015,6.918809802993654
25.22,40.9,24.86,36.06,35.72,25.2,36.75,33.24833333333333,33.291922054751126,7.494932405113844
25.72,40.56,24.86,35.72,35.72,25.2,36.75,33.135,33.268383746538454,7.844925449738946
26.23,40.56,24.86,36.06,35.37,24.86,36.4,33.01833333333333,33.23087618455769,9.046852484380025
26.73,40.56,24.86,35.37,35.72,24.86,36.75,33.02,33.19924475687403,9.636012261172233
