0,21.65,21.65,21.65,21.98,21.65,21.98
1,22.64,21.98,21.98,21.98,22.98,22.31
2,23.64,21.98,22.31,22.64,23.31,22.64
3,24.31,21.98,22.64,22.31,22.64,23.31
4,25.31,21.98,22.98,21.98,24.31,23.98
5,26.32,22.31,23.64,21.65,23.64,24.31
6,26.99,21.98,24.31,22.31,23.98,25.31
7,27.67,21.65,24.31,21.65,25.31,25.65
8,28.34,22.31,25.31,21.98,24.64,26.66
9,29.02,22.31,25.31,21.98,24.98,27.33
10,29.36,21.98,25.99,22.64,25.99,27.33
11,29.69,21.98,26.32,22.31,26.32,27.67
12,30.37,21.98,26.99,22.31,26.66,28.68
13,31.05,21.65,26.99,22.31,26.66,29.02
14,31.73,21.98,27.67,22.31,26.99,29.02
15,32.07,21.98,28.0,22.31,28.34,29.69
16,32.41,22.31,28.0,22.64,28.34,30.03
17,32.75,22.31,28.68,22.64,28.34,30.71
18,33.44,21.98,29.02,22.64,28.34,30.71
19,33.78,22.31,29.36,22.64,29.69,31.39
20,34.12,22.64,29.69,22.31,29.36,31.39
21,34.46,21.98,30.03,22.64,29.69,31.73
22,34.81,22.31,30.37,22.64,30.03,31.73
23,35.15,22.31,30.71,22.98,30.03,32.07
24,35.84,22.64,31.05,22.98,30.71,32.75
25,35.84,22.64,31.39,22.98,31.05,32.75
26,36.18,22.64,31.73,23.31,30.37,33.1
27,36.87,22.64,31.73,22.98,31.73,33.44
28,37.21,22.64,32.07,22.98,32.75,33.44
29,37.21,22.64,32.41,23.31,32.75,33.78
30,37.56,22.98,32.41,23.31,33.1,34.12
31,38.25,22.98,33.1,23.31,33.44,34.46
32,37.9,22.98,33.44,23.64,32.75,34.46
33,38.94,23.31,33.44,23.64,32.41,34.81
34,38.6,23.31,34.12,23.98,32.41,34.81
35,38.94,22.98,34.12,24.31,33.1,35.15
36,39.64,23.31,34.46,23.98,34.12,35.49
37,39.64,23.31,34.46,23.98,34.46,35.84
38,39.64,23.31,34.46,24.31,33.78,35.84
39,39.98,23.64,34.81,24.64,34.46,36.18
40,40.33,23.64,35.15,24.31,34.46,36.18
41,40.33,23.64,35.49,24.64,34.46,36.52
42,41.03,23.98,35.84,24.31,35.15,36.87
43,41.37,23.64,35.84,24.98,35.15,36.87
44,41.37,23.98,35.84,24.98,36.18,37.21
45,41.03,24.31,36.18,25.31,35.15,37.21
46,40.33,24.31,35.84,24.98,35.84,36.52
47,39.98,24.31,36.18,24.98,36.18,36.52
48,39.64,24.31,35.84,25.65,36.18,36.52
49,38.94,24.64,35.84,25.99,34.46,36.52
50,38.94,24.31,35.84,25.65,34.46,35.84
